loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,emi,start_date,end_date,loan_status
LOAN000001,CUST010651,Home Loan,933459,10.31,84,15646.45,2020-07-12,2031-08-18,Defaulted
LOAN000002,CUST002042,Car Loan,3843052,11.83,12,341144.96,2022-05-18,2029-02-15,Defaulted
LOAN000003,CUST008669,Personal Loan,4547172,13.56,84,84112.64,2016-08-28,2020-03-01,Closed
LOAN000004,CUST001115,Home Loan,4719195,9.98,36,152230.84,2023-07-17,2046-07-02,Defaulted
LOAN000005,CUST013903,Gold Loan,3244134,12.31,60,72673.2,2019-03-04,2042-09-24,Defaulted
LOAN000006,CUST011964,Home Loan,3329925,8.21,60,67854.04,2018-12-17,2039-11-19,Active
LOAN000007,CUST011073,Gold Loan,3704040,13.15,84,67686.19,2024-11-24,2026-11-16,Active
LOAN000008,CUST003003,Gold Loan,960475,11.28,120,13383.23,2022-03-22,2038-08-09,Closed
LOAN000009,CUST019772,Personal Loan,4659789,8.0,60,94483.72,2020-04-09,2044-03-22,Defaulted
LOAN000010,CUST008116,Home Loan,4400689,10.12,60,93761.69,2023-02-02,2024-08-09,Active
LOAN000011,CUST003526,Personal Loan,802772,7.59,36,25004.4,2021-06-20,2043-11-18,Defaulted
LOAN000012,CUST007880,Education Loan,3303116,13.26,24,157439.85,2018-12-25,2031-07-25,Defaulted
LOAN000013,CUST016442,Home Loan,4135033,11.93,240,45328.64,2017-03-11,2025-03-31,Closed
LOAN000014,CUST016297,Gold Loan,1856846,12.17,12,165126.22,2018-08-26,2033-10-18,Active
LOAN000015,CUST012567,Car Loan,3274724,8.66,36,103617.93,2018-12-13,2041-04-05,Closed
LOAN000016,CUST005253,Gold Loan,4587100,10.46,36,149005.46,2020-06-11,2022-09-19,Closed
LOAN000017,CUST019394,Personal Loan,319361,10.47,36,10375.5,2018-08-24,2037-03-10,Defaulted
LOAN000018,CUST016797,Education Loan,4198069,9.45,84,68505.72,2019-08-09,2034-04-30,Closed
LOAN000019,CUST008095,Home Loan,2427605,8.31,240,20776.31,2019-04-25,2041-09-08,Active
LOAN000020,CUST000323,Personal Loan,1303525,8.13,84,20401.55,2021-05-10,2028-05-29,Closed
LOAN000021,CUST009924,Car Loan,613414,13.62,60,14152.51,2017-12-22,2026-07-23,Active
LOAN000022,CUST007460,Education Loan,3029103,8.12,36,95088.85,2024-02-13,2031-08-10,Active
LOAN000023,CUST019025,Education Loan,1804870,12.35,36,60249.67,2020-12-14,2040-02-08,Closed
LOAN000024,CUST017554,Home Loan,3343774,12.82,24,158686.55,2024-12-11,2028-11-07,Defaulted
LOAN000025,CUST009120,Car Loan,4824682,11.85,60,106957.03,2021-11-28,2027-02-19,Defaulted
LOAN000026,CUST016422,Personal Loan,3339432,7.84,60,67456.22,2021-01-16,2035-05-03,Active
LOAN000027,CUST016061,Car Loan,682586,11.11,240,7096.74,2017-09-01,2033-10-02,Closed
LOAN000028,CUST010121,Education Loan,1213711,9.41,24,55676.67,2017-12-02,2029-05-04,Active
LOAN000029,CUST019056,Personal Loan,881497,12.46,36,29472.36,2016-10-23,2046-07-05,Closed
LOAN000030,CUST003650,Education Loan,3689118,10.03,120,48813.27,2019-08-26,2024-12-04,Defaulted
LOAN000031,CUST003942,Personal Loan,973666,11.09,36,31918.09,2022-05-16,2027-07-21,Defaulted
LOAN000032,CUST017881,Education Loan,4289466,12.67,84,77266.31,2020-10-22,2036-05-19,Defaulted
LOAN000033,CUST016676,Personal Loan,2048179,12.76,84,36993.68,2017-08-16,2044-01-04,Closed
LOAN000034,CUST012631,Car Loan,3222068,9.91,240,30901.77,2019-04-12,2029-03-30,Active
LOAN000035,CUST011444,Education Loan,3399386,12.48,84,60884.55,2020-10-21,2021-10-11,Closed
LOAN000036,CUST012158,Education Loan,209238,12.93,12,18681.7,2019-12-01,2020-07-02,Active
LOAN000037,CUST013836,Car Loan,4742067,7.95,180,45180.89,2021-04-17,2037-08-24,Active
LOAN000038,CUST003435,Gold Loan,4479714,8.77,180,44825.37,2021-04-02,2045-12-25,Defaulted
LOAN000039,CUST018740,Personal Loan,873738,9.96,120,11527.17,2018-09-05,2033-10-20,Closed
LOAN000040,CUST017408,Home Loan,1104827,14.06,60,25741.77,2018-02-20,2034-09-09,Active
LOAN000041,CUST015441,Home Loan,963314,10.78,180,10816.29,2025-05-25,2036-03-12,Closed
LOAN000042,CUST010407,Car Loan,3992751,9.43,180,41524.81,2016-09-01,2028-02-25,Defaulted
LOAN000043,CUST006518,Gold Loan,4213061,8.45,240,36428.71,2019-04-23,2040-03-17,Closed
LOAN000044,CUST000972,Car Loan,3700877,9.33,12,324213.78,2018-05-07,2043-12-12,Closed
LOAN000045,CUST016488,Education Loan,4012785,14.41,240,51099.13,2018-03-31,2031-08-31,Active
LOAN000046,CUST019731,Personal Loan,4091669,13.15,120,61455.55,2016-11-24,2041-09-20,Active
LOAN000047,CUST013138,Gold Loan,2589235,7.61,120,30883.53,2025-06-22,2046-01-28,Active
LOAN000048,CUST003670,Car Loan,1393067,8.63,84,22152.46,2018-02-07,2024-08-05,Closed
LOAN000049,CUST015984,Education Loan,1774362,14.38,24,85511.11,2023-11-16,2025-03-24,Active
LOAN000050,CUST004059,Home Loan,2966962,12.75,12,264653.09,2022-01-23,2040-09-13,Closed
LOAN000051,CUST014977,Personal Loan,2149979,7.96,120,26039.76,2017-10-25,2030-06-01,Defaulted
LOAN000052,CUST015699,Home Loan,4047094,9.4,180,42016.89,2017-10-25,2019-04-02,Closed
LOAN000053,CUST013830,Personal Loan,1778248,8.22,120,21782.33,2021-02-13,2028-06-06,Closed
LOAN000054,CUST013420,Home Loan,2382906,10.19,84,39793.39,2017-12-11,2028-05-19,Defaulted
LOAN000055,CUST000961,Home Loan,4185724,14.5,60,98482.89,2019-09-07,2043-01-11,Active
LOAN000056,CUST017745,Car Loan,1209018,7.96,180,11526.1,2023-02-01,2037-04-11,Active
LOAN000057,CUST009865,Personal Loan,2318563,12.07,60,51657.21,2025-03-01,2044-02-11,Active
LOAN000058,CUST011264,Car Loan,1410996,11.79,36,46723.86,2023-04-29,2024-11-13,Closed
LOAN000059,CUST015783,Car Loan,1143346,9.9,240,10957.89,2025-05-19,2028-01-13,Active
LOAN000060,CUST017197,Car Loan,4741946,8.69,24,215960.74,2021-01-17,2031-09-12,Active
LOAN000061,CUST007555,Home Loan,148127,10.02,36,4781.03,2021-12-11,2022-08-15,Defaulted
LOAN000062,CUST010499,Personal Loan,3496385,10.12,240,34019.32,2025-03-26,2035-04-25,Active
LOAN000063,CUST017060,Home Loan,4210973,13.35,120,63746.64,2020-03-06,2036-03-02,Closed
LOAN000064,CUST017929,Car Loan,1788375,8.36,60,36570.7,2022-04-04,2037-02-26,Closed
LOAN000065,CUST007086,Gold Loan,3677593,9.78,12,322942.68,2021-08-14,2025-10-08,Closed
LOAN000066,CUST014754,Gold Loan,2119314,9.76,120,27725.99,2022-05-06,2035-02-13,Active
LOAN000067,CUST004520,Education Loan,2979328,8.7,12,260132.34,2017-11-14,2023-02-15,Closed
LOAN000068,CUST003025,Car Loan,4785529,11.82,84,84017.7,2025-04-30,2044-01-20,Closed
LOAN000069,CUST012122,Car Loan,3073488,9.6,36,98596.62,2022-05-02,2036-09-28,Active
LOAN000070,CUST018495,Home Loan,2799868,8.37,180,27358.47,2023-11-27,2039-05-06,Active
LOAN000071,CUST005484,Personal Loan,2106775,12.45,24,99616.53,2021-12-22,2038-06-28,Active
LOAN000072,CUST001420,Gold Loan,1487704,9.6,12,130516.21,2020-11-05,2037-04-09,Active
LOAN000073,CUST006210,Gold Loan,4353059,12.35,180,53228.2,2020-08-28,2038-09-06,Active
LOAN000074,CUST010743,Car Loan,1604408,11.79,240,17431.59,2019-01-17,2041-07-21,Defaulted
LOAN000075,CUST016144,Education Loan,4361632,12.29,24,205908.35,2021-12-21,2045-01-09,Active
LOAN000076,CUST017618,Personal Loan,1914647,12.42,84,34230.3,2018-06-06,2033-11-18,Closed
LOAN000077,CUST014569,Education Loan,4520992,12.25,180,54988.77,2019-12-07,2039-12-18,Defaulted
LOAN000078,CUST000981,Personal Loan,4109752,8.33,240,35224.43,2019-04-10,2021-07-29,Closed
LOAN000079,CUST002784,Car Loan,744972,7.93,84,11585.33,2025-02-19,2027-09-23,Defaulted
LOAN000080,CUST007714,Education Loan,2590404,7.9,60,52400.17,2022-06-22,2031-04-23,Active
LOAN000081,CUST011519,Personal Loan,2657417,12.39,12,236593.39,2022-07-17,2026-07-10,Defaulted
LOAN000082,CUST008601,Home Loan,2733610,10.32,240,26962.09,2019-03-20,2043-04-12,Defaulted
LOAN000083,CUST011641,Personal Loan,4926590,10.03,12,433194.27,2019-03-30,2044-03-16,Defaulted
LOAN000084,CUST018831,Education Loan,360033,9.5,120,4658.74,2021-11-16,2032-02-11,Defaulted
LOAN000085,CUST012563,Personal Loan,4479594,8.51,240,38903.31,2022-01-18,2031-03-24,Defaulted
LOAN000086,CUST012752,Gold Loan,4553160,11.46,120,63911.2,2019-06-17,2026-04-13,Defaulted
LOAN000087,CUST006385,Car Loan,1771019,9.89,120,23296.4,2022-08-17,2044-06-17,Closed
LOAN000088,CUST004808,Personal Loan,2354000,12.88,120,34981.33,2023-09-21,2033-04-11,Active
LOAN000089,CUST006196,Education Loan,1495591,12.49,24,70745.38,2019-04-09,2027-12-22,Closed
LOAN000090,CUST010649,Car Loan,3911621,7.93,180,37223.59,2017-03-07,2040-10-19,Defaulted
LOAN000091,CUST007568,Personal Loan,363670,11.21,180,4181.54,2024-06-08,2031-04-26,Defaulted
LOAN000092,CUST016398,Gold Loan,4099761,11.94,180,49045.88,2025-05-07,2037-07-02,Defaulted
LOAN000093,CUST017525,Education Loan,1640261,12.2,240,18289.91,2024-02-04,2028-08-05,Defaulted
LOAN000094,CUST001347,Car Loan,3606665,9.05,24,164852.31,2019-05-10,2035-08-06,Defaulted
LOAN000095,CUST013125,Education Loan,3607918,14.12,120,56279.47,2018-08-13,2045-07-14,Defaulted
LOAN000096,CUST012674,Car Loan,303387,9.61,24,13945.22,2017-12-30,2038-04-10,Defaulted
LOAN000097,CUST015456,Car Loan,823538,7.66,24,37118.82,2023-03-25,2034-07-31,Active
LOAN000098,CUST014002,Education Loan,484942,12.66,240,5564.41,2022-11-12,2038-07-23,Closed
LOAN000099,CUST018622,Gold Loan,138272,14.06,240,1725.47,2022-04-05,2043-04-02,Active
LOAN000100,CUST002120,Personal Loan,1270349,10.65,180,14160.79,2019-02-09,2028-03-26,Active
LOAN000101,CUST015305,Home Loan,2219470,9.4,180,23042.52,2024-02-10,2044-12-11,Active
LOAN000102,CUST004310,Gold Loan,577690,8.57,12,50404.72,2021-04-11,2041-10-25,Active
LOAN000103,CUST004485,Gold Loan,4852826,13.9,120,75056.59,2023-12-21,2040-05-10,Defaulted
LOAN000104,CUST011014,Personal Loan,1074524,10.97,12,94953.18,2023-09-06,2037-11-28,Defaulted
LOAN000105,CUST004771,Education Loan,3382281,14.1,180,45270.7,2019-04-04,2044-02-16,Defaulted
LOAN000106,CUST002713,Gold Loan,1672686,12.28,36,55781.07,2021-05-01,2033-11-13,Active
LOAN000107,CUST012187,Personal Loan,145720,13.44,60,3348.49,2019-03-30,2032-05-01,Closed
LOAN000108,CUST016616,Personal Loan,4382815,13.17,240,51879.7,2017-09-22,2025-10-30,Closed
LOAN000109,CUST010948,Gold Loan,1978498,8.67,84,31501.86,2017-04-15,2033-05-13,Closed
LOAN000110,CUST002546,Education Loan,2069798,12.7,36,69440.97,2022-06-19,2035-11-09,Defaulted
LOAN000111,CUST012620,Education Loan,4101756,9.99,12,360590.44,2018-07-29,2031-02-20,Active
LOAN000112,CUST009852,Gold Loan,863697,10.32,84,14481.6,2017-03-21,2040-11-01,Active
LOAN000113,CUST004411,Gold Loan,1808020,8.5,36,57074.74,2025-02-15,2044-08-28,Closed
LOAN000114,CUST019648,Education Loan,2487566,8.46,36,78480.23,2025-04-05,2026-10-15,Closed
LOAN000115,CUST012345,Gold Loan,2542772,8.9,180,25639.44,2025-01-05,2041-08-04,Active
LOAN000116,CUST012408,Home Loan,2519842,10.39,36,81770.38,2025-03-02,2026-04-27,Active
LOAN000117,CUST009611,Car Loan,277336,9.47,84,4528.51,2023-12-19,2024-06-14,Active
LOAN000118,CUST010719,Home Loan,4804193,9.34,240,44280.63,2024-09-25,2029-05-20,Defaulted
LOAN000119,CUST007572,Car Loan,3660745,9.96,24,168857.23,2017-07-21,2019-10-24,Closed
LOAN000120,CUST003571,Gold Loan,203446,11.53,84,3540.44,2017-08-18,2041-03-13,Active
LOAN000121,CUST008603,Education Loan,1572167,10.52,12,138598.97,2022-09-08,2029-05-25,Active
LOAN000122,CUST003560,Gold Loan,1005105,12.54,12,89556.47,2021-11-26,2024-04-07,Active
LOAN000123,CUST004992,Gold Loan,4362178,8.3,120,53619.28,2018-05-04,2045-09-23,Closed
